branch,maven_release,class,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,NPM
v2.8,2.8.0-M1,module-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,module-info,0,1,0,0,0,0,0,0
v2.0,2.0.1,org.apache.log4j.Appender,0,1,0,0,0,0,2,0
v2.8,2.8.0-M1,org.apache.log4j.Appender,0,1,0,0,0,0,2,0
v3.0,3.0-SNAPSHOT,org.apache.log4j.Appender,0,1,0,0,0,0,2,0
v2.0,2.0.1,org.apache.log4j.Category,52,1,1,10,75,662,1,45
v2.8,2.8.0-M1,org.apache.log4j.Category,52,1,1,11,75,662,1,45
v3.0,3.0-SNAPSHOT,org.apache.log4j.Category,51,1,1,7,52,1275,1,45
v2.0,2.0.1,org.apache.log4j.Category$1,1,1,0,1,3,0,1,0
v2.8,2.8.0-M1,org.apache.log4j.Category$1,1,1,0,1,3,0,1,0
v2.0,2.0.1,org.apache.log4j.Level,9,0,0,1,19,10,2,4
v2.8,2.8.0-M1,org.apache.log4j.Level,9,0,0,1,19,10,2,4
v3.0,3.0-SNAPSHOT,org.apache.log4j.Level,9,0,0,1,19,10,2,4
v2.0,2.0.1,org.apache.log4j.LogManager,13,1,0,2,27,54,2,9
v2.8,2.8.0-M1,org.apache.log4j.LogManager,13,1,0,2,27,54,2,9
v3.0,3.0-SNAPSHOT,org.apache.log4j.LogManager,13,1,0,2,27,54,0,9
v2.0,2.0.1,org.apache.log4j.Logger,10,0,0,5,19,33,3,7
v2.8,2.8.0-M1,org.apache.log4j.Logger,10,0,0,6,19,33,3,7
v3.0,3.0-SNAPSHOT,org.apache.log4j.Logger,9,0,0,2,10,36,3,7
v2.0,2.0.1,org.apache.log4j.MDC,6,1,0,1,13,15,0,5
v2.8,2.8.0-M1,org.apache.log4j.MDC,6,1,0,1,13,15,0,5
v3.0,3.0-SNAPSHOT,org.apache.log4j.MDC,6,1,0,0,8,15,0,5
v2.0,2.0.1,org.apache.log4j.NDC,10,1,0,2,15,45,0,9
v2.8,2.8.0-M1,org.apache.log4j.NDC,10,1,0,2,15,45,0,9
v3.0,3.0-SNAPSHOT,org.apache.log4j.NDC,10,1,0,0,12,45,0,9
v2.0,2.0.1,org.apache.log4j.Priority,14,1,1,1,19,41,2,11
v2.8,2.8.0-M1,org.apache.log4j.Priority,14,1,1,1,19,41,2,11
v3.0,3.0-SNAPSHOT,org.apache.log4j.Priority,14,1,1,1,19,41,2,11
v2.8,2.8.0-M1,org.apache.log4j.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.apache.log4j.package-info,0,1,0,0,0,0,0,0
v2.0,2.0.1,org.apache.log4j.spi.AppenderAttachable,7,1,0,1,7,21,0,7
v2.8,2.8.0-M1,org.apache.log4j.spi.AppenderAttachable,7,1,0,1,7,21,0,7
v3.0,3.0-SNAPSHOT,org.apache.log4j.spi.AppenderAttachable,7,1,0,1,7,21,0,7
v2.0,2.0.1,org.apache.log4j.spi.LoggerFactory,1,1,0,1,1,0,2,1
v2.8,2.8.0-M1,org.apache.log4j.spi.LoggerFactory,1,1,0,1,1,0,2,1
v3.0,3.0-SNAPSHOT,org.apache.log4j.spi.LoggerFactory,1,1,0,1,1,0,2,1
v2.0,2.0.1,org.apache.log4j.spi.LoggingEvent,1,1,0,0,2,0,1,1
v2.8,2.8.0-M1,org.apache.log4j.spi.LoggingEvent,1,1,0,0,2,0,1,1
v3.0,3.0-SNAPSHOT,org.apache.log4j.spi.LoggingEvent,1,1,0,0,2,0,1,1
v2.8,2.8.0-M1,org.apache.log4j.spi.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.apache.log4j.spi.package-info,0,1,0,0,0,0,0,0
v1.0,1.0,org.pmw.tinylog.Configuration,21,1,0,10,67,164,18,8
v1.0,1.0,org.pmw.tinylog.ConfigurationObserver,20,2,2,9,82,168,3,4
v1.0,1.0,org.pmw.tinylog.ConfigurationObserver$1,2,0,0,2,4,0,2,0
v1.0,1.0,org.pmw.tinylog.ConfigurationObserver$2,2,0,0,3,5,0,1,0
v1.0,1.0,org.pmw.tinylog.Configurator,34,1,0,11,97,337,6,29
v1.0,1.0,org.pmw.tinylog.Configurator$WritingThreadData,4,1,0,1,8,0,2,0
v1.0,1.0,org.pmw.tinylog.EnvironmentHelper,4,1,0,0,10,4,5,2
v1.0,1.0,org.pmw.tinylog.InternalLogger,12,1,0,1,23,60,10,10
v1.0,1.0,org.pmw.tinylog.Level,4,2,0,1,7,4,11,2
v2.0,2.0.1,org.pmw.tinylog.Level,4,2,0,1,7,4,1,2
v2.8,2.8.0-M1,org.pmw.tinylog.Level,4,2,0,1,7,4,1,2
v3.0,3.0-SNAPSHOT,org.pmw.tinylog.Level,4,2,0,0,7,4,1,2
v1.0,1.0,org.pmw.tinylog.LogEntry,13,1,0,1,14,56,24,12
v1.0,1.0,org.pmw.tinylog.LogEntryForwarder,7,1,0,2,10,21,0,6
v1.0,1.0,org.pmw.tinylog.Logger,39,1,0,14,95,0,2,30
v2.0,2.0.1,org.pmw.tinylog.Logger,57,1,0,6,67,0,0,53
v2.8,2.8.0-M1,org.pmw.tinylog.Logger,57,1,0,9,69,0,0,53
v3.0,3.0-SNAPSHOT,org.pmw.tinylog.Logger,56,1,0,5,57,1540,0,53
v1.0,1.0,org.pmw.tinylog.Logger$1,1,1,0,1,3,0,1,0
v2.0,2.0.1,org.pmw.tinylog.Logger$1,1,1,0,1,3,0,1,0
v2.8,2.8.0-M1,org.pmw.tinylog.Logger$1,1,1,0,1,3,0,1,0
v2.0,2.0.1,org.pmw.tinylog.LoggingContext,6,1,0,1,12,15,0,5
v2.8,2.8.0-M1,org.pmw.tinylog.LoggingContext,6,1,0,1,12,15,0,5
v3.0,3.0-SNAPSHOT,org.pmw.tinylog.LoggingContext,6,1,0,0,8,15,0,5
v1.0,1.0,org.pmw.tinylog.MessageFormatter,2,1,0,0,9,1,2,0
v1.0,1.0,org.pmw.tinylog.PropertiesLoader,21,1,0,10,116,210,2,0
v1.0,1.0,org.pmw.tinylog.StackTraceInformation,4,2,0,1,7,4,2,2
v2.0,2.0.1,org.pmw.tinylog.Supplier,1,1,0,0,1,0,1,1
v2.8,2.8.0-M1,org.pmw.tinylog.Supplier,1,1,0,0,1,0,1,1
v3.0,3.0-SNAPSHOT,org.pmw.tinylog.Supplier,1,1,0,0,1,0,1,1
v1.0,1.0,org.pmw.tinylog.Token,2,1,0,1,2,1,17,2
v1.0,1.0,org.pmw.tinylog.Tokenizer,9,1,0,18,49,30,1,0
v1.0,1.0,org.pmw.tinylog.Tokenizer$1,0,1,0,0,0,0,12,0
v1.0,1.0,org.pmw.tinylog.Tokenizer$BundlerToken,4,1,0,3,12,0,1,2
v1.0,1.0,org.pmw.tinylog.Tokenizer$ClassNameToken,3,1,0,3,9,3,1,3
v1.0,1.0,org.pmw.tinylog.Tokenizer$ClassToken,3,1,0,3,7,3,1,3
v1.0,1.0,org.pmw.tinylog.Tokenizer$DateToken,5,1,0,4,10,8,1,2
v1.0,1.0,org.pmw.tinylog.Tokenizer$FileToken,4,1,0,4,8,6,1,2
v1.0,1.0,org.pmw.tinylog.Tokenizer$LevelToken,4,1,0,5,8,6,1,2
v1.0,1.0,org.pmw.tinylog.Tokenizer$LineToken,4,1,0,4,8,6,1,2
v1.0,1.0,org.pmw.tinylog.Tokenizer$MessageToken,7,1,0,5,22,17,1,2
v1.0,1.0,org.pmw.tinylog.Tokenizer$MethodToken,4,1,0,4,8,6,1,2
